Date,Type,ticker,Price
2020-07-27,Closed,RIOT,2.640000104904175
2020-07-28,Open,RIOT,2.869999885559082
2020-07-28,Closed,RIOT,2.7699999809265137
2020-07-29,Open,RIOT,2.880000114440918
2020-07-29,Closed,RIOT,2.75
2020-07-30,Open,RIOT,2.561000108718872
2020-07-30,Closed,RIOT,2.549999952316284
2020-07-31,Open,RIOT,2.5999999046325684
2020-07-31,Closed,RIOT,2.640000104904175
2020-08-03,Open,RIOT,2.9000000953674316
2020-08-03,Closed,RIOT,3.5
2020-08-04,Open,RIOT,3.200000047683716
2020-08-04,Closed,RIOT,3.4000000953674316
2020-08-05,Open,RIOT,4.070000171661377
2020-08-05,Closed,RIOT,4.010000228881836
2020-08-06,Open,RIOT,4.369999885559082
2020-08-06,Closed,RIOT,4.25
2020-08-07,Open,RIOT,4.119999885559082
2020-08-07,Closed,RIOT,3.7699999809265137
2020-08-10,Open,RIOT,4.255000114440918
2020-08-10,Closed,RIOT,4.130000114440918
2020-08-11,Open,RIOT,3.7799999713897705
2020-08-11,Closed,RIOT,3.619999885559082
2020-08-12,Open,RIOT,3.75
2020-08-12,Closed,RIOT,3.5399999618530273
2020-08-13,Open,RIOT,3.4200000762939453
2020-08-13,Closed,RIOT,3.609999895095825
2020-08-14,Open,RIOT,3.6700000762939453
2020-08-14,Closed,RIOT,3.7799999713897705
2020-08-17,Open,RIOT,3.950000047683716
2020-08-17,Closed,RIOT,4.150000095367432
2020-08-18,Open,RIOT,4.0
2020-08-18,Closed,RIOT,4.039999961853027
2020-08-19,Open,RIOT,3.869999885559082
2020-08-19,Closed,RIOT,3.690000057220459
2020-08-20,Open,RIOT,3.7300000190734863
2020-08-20,Closed,RIOT,3.990000009536743
2020-08-21,Open,RIOT,3.819999933242798
2020-08-21,Closed,RIOT,3.7249999046325684
2020-08-24,Open,RIOT,3.7799999713897705
2020-08-24,Closed,RIOT,3.630000114440918
2020-08-25,Open,RIOT,3.4100000858306885
2020-08-25,Closed,RIOT,3.5799999237060547
2020-08-26,Open,RIOT,3.4000000953674316
2020-08-26,Closed,RIOT,3.4100000858306885
2020-08-27,Open,RIOT,3.4600000381469727
2020-08-27,Closed,RIOT,3.2699999809265137
